car_model,price,year_model,kms,color,fueltype
Chevrolet Spark Gt Gt Full,$32.500.000,2017,103.060,Color not found,Gasolina
Chevrolet Spark Gt Ltz,$34.700.000,2017,72.400,Color not found,Gasolina
Chevrolet Captiva 2.4 Sport 182 hp,$37.500.000,2016,62.000,Negro,Gasolina
Chevrolet Spark Gt Ltz,$34.500.000,2016,46.100,Gris,Gasolina
Chevrolet Spark GT 1.2 Ltz,$41.900.000,2021,18.000,Blanco,Gasolina
Chevrolet Spark LT LIFE,$25.500.000,2016,122.807,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.800.000,2017,123.500,Blanco,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2012,152.000,Negro,Gasolina
Chevrolet Spark Gt Mod 2017,$33.500.000,2017,78.000,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$22.500.000,2016,176.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$27.990.000,2015,83.970,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$29.990.000,2017,82.000,Verde,Gasolina
Chevrolet Spark 1.0 Life,$28.000.000,2019,51.000,Color not found,Gasolina
Chevrolet Spark 1.0 Go,$25.000.000,2016,69.000,Plateado,Gasolina
Chevrolet Spark Life,$22.990.000,2012,105.000,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$26.900.000,2017,99.998,Blanco,Gasolina
Chevrolet Spark GT 1.2 Ltz,$39.800.000,2018,44.970,Rojo,Gasolina
Chevrolet Spark 1.2 GT LTZ/PREMIER MT,$37.500.000,2019,80.000,Plateado,Gasolina
Chevrolet Spark GT 1.2 Ltz,$40.900.000,2019,65.000,Blanco,Gasolina
Chevrolet Spark Gt Lt Cc1200 Mecanico 80 Hp,$32.900.000,2019,117.000,Rojo,Gasolina
Chevrolet Spark 1.2 GT ACTIV MT,$41.900.000,2020,76.000,Blanco,Gasolina
Chevrolet Spark GT 1.2,$27.000.000,2013,214.010,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$30.500.000,2015,111.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300,$26.900.000,2012,159.800,Blanco,Gasolina
Chevrolet Spark 1.0 Life Lujo,$25.900.000,2016,122.000,Gris,Gasolina
Chevrolet Spark Gt Activ 2022,$49.800.000,2022,26.369,Azul,Gasolina
Chevrolet Spark 1.2 Gt Lt,$42.900.000,2021,54.233,Blanco,Gasolina
Chevrolet Spark LIFE,$23.900.000,2015,92.000,Blanco,Gasolina
Chevrolet Spark Lt 2013,$25.800.000,2013,88.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$34.000.000,2017,154.758,Rojo,Gasolina
Chevrolet Spark Gt,$33.900.000,2017,72.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$36.900.000,2019,83.900,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300,$32.800.000,2014,31.845,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.900.000,2017,67.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$36.500.000,2018,59.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$34.900.000,2017,87.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2015,177.000,Blanco,Gasolina
Chevrolet Spark 1.0 Lt M200,$21.900.000,2010,58.000,Marrón,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$33.800.000,2018,97.900,Plateado,Gasolina
Chevrolet Spark 2014,$22.400.000,2014,87.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$33.900.000,2018,85.000,Plateado,Gasolina
Chevrolet Spark GT lt 1.2,$37.700.000,2018,54.637,Rojo,Gasolina
Chevrolet Spark 1.0 Go,$27.000.000,2010,98.000,Rojo,Gasolina
Chevrolet Spark Gt Gt Ltz ,$34.900.000,2017,116.000,Rojo,Gasolina
Chevrolet Spark Life 1.0 2019,$30.900.000,2019,72.000,Negro,Gasolina
Chevrolet Spark Gt Ltz 1.2 Mt Mod 2012 ,$30.900.000,2012,138.600,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$34.500.000,2016,82.825,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ls,$32.999.000,2019,122.000,Negro,Gasolina
Chevrolet Spark 1.0 Life Go Techo Corredizo,$21.500.000,2010,120.000,Azul,Gasolina
Chevrolet Spark gt 1.2,$38.000.000,2017,49.000,Gris,Gasolina
Chevrolet Spark Gt Active 2020,$38.000.000,2020,95.500,Rojo,Gasolina y gas
Chevrolet Spark 1.0 Life,$26.400.000,2018,54.000,Negro,Gasolina
Chevrolet Spark Gt,$31.900.000,2016,1,Negro,Gasolina
Chevrolet Spark Gt,$27.500.000,2013,115.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$31.000.000,2015,92.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$30.500.000,2014,95.000,Gris,Gasolina
Chevrolet Spark Gt,$26.200.000,2013,158.300,Plateado,Gasolina
Chevrolet Spark Gt Ltz 2015,$31.500.000,2015,70.000,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$29.900.000,2015,98.000,Azul,Gasolina
Chevrolet Spark Gt Ltz 2016,$30.500.000,2016,125.000,Gris,Gasolina
Chevrolet Spark Gt Activ Cc1200 Mecanico 80 Hp,$41.600.000,2019,15.500,Gris,Gasolina
Chevrolet Spark Gt Lts 1.2 5p 2017 Jdr247,$35.400.000,2017,71.136,Gris,Gasolina
Chevrolet Spark Gt Lt Mt Modelo 2018,$39.900.000,2018,78.003,Azul,Gasolina
Chevrolet Spark GT 1.206 Ls Mecanico,$46.900.000,2020,46.488,Blanco,Gasolina
 Chevrolet Spark Gt Active 2022,$42.500.000,2022,48.000,Gris,Gasolina
Chevrolet Spark Gt,$39.900.000,2020,24.000,Blanco,Gasolina
Chevrolet Spark 1.0 Ls,$18.600.000,2009,155.819,Dorado,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.500.000,2012,112.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt Lt,$40.990.000,2020,27.700,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$36.920.000,2017,66.131,Blanco,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$37.900.000,2018,54.000,Azul,Gasolina
Chevrolet Spark 1.0 Life Lujo,$23.300.000,2016,86.038,Blanco,Gasolina
Chevrolet Spark GT 1.2 Active,$46.500.000,2022,49.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Ls,$37.900.000,2019,58.800,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$37.900.000,2019,80.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Lt,$41.900.000,2022,17.000,Gris,Gasolina
Chevrolet Spark Gt Spark Gt Ltz,$29.900.000,2015,90.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$35.500.000,2019,60.000,Gris,Gasolina
